Name,Link,Longitude,Latitude,Company,Funder,Incubator/accelerator,University/RTO
Open Data Institute,http://theodi.org,-0.083444,51.52233,0,0,0,1
Open University,Not given,-0.711252,52.024257,0,0,0,1
Optocap Ltd,Not given,-3.533656,55.879203,0,0,0,1
Ordnance Survey,https://www.ordnancesurvey.co.uk,-1.470424,50.938115,0,0,0,1
Owlstone Limited,Not given,0.147814,52.232455,0,0,0,1
Oxfam GB,Not given,-1.205303,51.728547,0,0,0,1
Oxford City Council,https://www.oxford.gov.uk,-1.267367,51.750231,0,0,0,1
Oxford Instruments plc,Not given,-1.353327,51.695367,0,0,0,1
Oxford Lasers Ltd,Not given,-1.251718,51.619668,0,0,0,1
Oxford Nanopore Technologies,http://www.nanoporetech.com,-1.218059,51.716502,0,0,0,1
Oxford Nanosystems Ltd,http://www.oxfordnanosystems.com,-1.312797,51.576039,0,0,0,1
Peter Brett Associates,Not given,-0.976861,51.464439,0,0,0,1
Philips Electronics U K Ltd,Not given,-0.586944,51.246759,0,0,0,1
Pilkington Group Limited,Not given,-2.741738,53.450723,0,0,0,1
Pilkington Technology Management Ltd,Not given,-2.814683,53.573527,0,0,0,1
Plastic Logic Ltd,Not given,0.142671,52.232244,0,0,0,1
Plessey Semiconductors Ltd,http://www.plesseysemi.com/,-4.110213,50.443512,0,0,0,1
Police Scotland,Not given,-3.397646,55.923128,0,0,0,1
PowerPhotonic Ltd,Not given,-3.364372,56.040149,0,0,0,1
Practical Action,https://practicalaction.org/,-1.359925,52.330578,0,0,0,1
PragmatIC Printing Ltd,Not given,0.140233,52.233768,0,0,0,1
Premier Foods Group Ltd,Not given,-0.618016,51.47744,0,0,0,1
Printed Electronics Limited,Not given,0.153281,52.234599,0,0,0,1
Process Systems Enterprises Ltd,Not given,-0.226359,51.495604,0,0,0,1
QinetiQ Ltd,Not given,-0.761542,51.276055,0,0,0,1
Qinetiq Ltd,Not given,-2.315956,52.102095,0,0,0,1
Qioptiq Ltd,Not given,-3.513511,53.263929,0,0,0,1
Queen Elizabeth University Hospital,Not given,-4.341461,55.861783,0,0,0,1
Queen Margaret University Edinburgh,Not given,-3.073057,55.931281,0,0,0,1
"Queen Mary, University of London",http://www.qmul.ac.uk/,-0.040418,51.524375,0,0,0,1
RSA (Royal Society for Arts),Not given,-0.122645,51.509495,0,0,0,1
RSPB,Not given,-0.265785,52.115902,0,0,0,1
Rail Safety and Standards Board (RSSB),Not given,-0.105502,51.532454,0,0,0,1
